domain,type,comm_pol
radioitalia.it,Commercial broadcaster,NA
rai.it,Public broadcaster,NA
rainews.it,Public broadcaster,1
raiplay.it,Public broadcaster,NA
raiplayradio.it,Public broadcaster,NA
realclearpolitics.com,Digital-born news outlet,NA
redstate.com,Hyperpartisan media,NA
regio7.cat,Quality newspaper/magazine,NA
repubblica.it,Quality newspaper/magazine,NA
republica.com,Digital-born news outlet,NA
resistancerepublicaine.eu,Hyperpartisan media,NA
reuters.com,Quality newspaper/magazine,NA
revolutionpermanente.fr,Hyperpartisan media,NA
rhein-zeitung.de,Quality newspaper/magazine,NA
rightwingtribune.com,Hyperpartisan media,NA
riminitoday.it,Quality newspaper/magazine,NA
ripostelaique.com,Hyperpartisan media,NA
romatoday.it,Quality newspaper/magazine,NA
rosenheim24.de,Digital-born news outlet,NA
roughlyexplained.com,Digital-born news outlet,NA
rp-online.de,Quality newspaper/magazine,NA
rt.com,Hyperpartisan media,NA
rtbf.be,Public broadcaster,NA
rte.ie,Public broadcaster,NA
rtl.de,Commercial broadcaster,NA
rtl.fr,Commercial broadcaster,NA
rtl2.de,Commercial broadcaster,NA
rtve.es,Public broadcaster,NA
saechsische.de,Quality newspaper/magazine,NA
salon.com,Digital-born news outlet,NA
sat1.de,Commercial broadcaster,NA
sbs.com.au,Public broadcaster,NA
seattletimes.com,Quality newspaper/magazine,NA
secoloditalia.it,Hyperpartisan media,NA
sfgate.com,Quality newspaper/magazine,NA
shz.de,Quality newspaper/magazine,NA
sky.com,Commercial broadcaster,NA
sky.it,Commercial broadcaster,NA
skytg24news.it,Commercial broadcaster,1
slate.com,Digital-born news outlet,NA
slate.fr,Digital-born news outlet,NA
spiegel.de,Quality newspaper/magazine,NA
splinternews.com,Hyperpartisan media,NA
sputniknews.com,Hyperpartisan media,NA
standard.co.uk,Tabloid newspaper,NA
startribune.com,Quality newspaper/magazine,NA
stern.de,Quality newspaper/magazine,NA
stimme.de,Quality newspaper/magazine,NA
strettoweb.com,Digital-born news outlet,NA
sudinfo.be,Quality newspaper/magazine,NA
sudouest.fr,Quality newspaper/magazine,NA
sueddeutsche.de,Quality newspaper/magazine,NA
sun-sentinel.com,Quality newspaper/magazine,NA
suntimes.com,Tabloid newspaper,NA
swp.de,Quality newspaper/magazine,NA
swr.de,Public broadcaster,NA
swr3.de,Public broadcaster,NA
tag24.de,Digital-born news outlet,NA
tagesschau.de,Public broadcaster,1
tagesspiegel.de,Quality newspaper/magazine,NA
taz.de,Quality newspaper/magazine,NA
telecinco.es,Commercial broadcaster,NA
telegraph.co.uk,Quality newspaper/magazine,NA
telemundo.com,Commercial broadcaster,NA
tempi.it,Digital-born news outlet,NA
termometropolitico.it,Digital-born news outlet,NA
tf1.fr,Commercial broadcaster,NA
tgcom24.it,Commercial broadcaster,1
theatlantic.com,Quality newspaper/magazine,NA
theblaze.com,Hyperpartisan media,NA
theconversation.com,Digital-born news outlet,NA
thedailybeast.com,Digital-born news outlet,NA
theepochtimes.com,Hyperpartisan media,NA
thefederalist.com,Hyperpartisan media,NA
thegatewaypundit.com,Hyperpartisan media,NA
theguardian.com,Quality newspaper/magazine,NA
thehill.com,Quality newspaper/magazine,NA
theperspective.com,Digital-born news outlet,NA
thesun.co.uk,Tabloid newspaper,NA
thetelegraphandargus.co.uk,Quality newspaper/magazine,NA
thetimes.co.uk,Quality newspaper/magazine,NA
time.com,Quality newspaper/magazine,NA
timesofisrael.com,Digital-born news outlet,NA
torinotoday.it,Quality newspaper/magazine,NA
trevisotoday.it,Quality newspaper/magazine,NA
trinitymirror-news.co.uk,Tabloid newspaper,NA
tv5monde.com,Public broadcaster,NA
tz.de,Tabloid newspaper,NA
udinetoday.it,Quality newspaper/magazine,NA
uktv.co.uk,Public broadcaster,NA
uol.com.br,Digital-born news outlet,NA
usatoday.com,Tabloid newspaper,NA
usnews.com,Quality newspaper/magazine,NA
valenciaplaza.com,Digital-born news outlet,NA
valeursactuelles.com,Quality newspaper/magazine,NA
vice.com,Digital-born news outlet,NA
vilaweb.cat,Digital-born news outlet,NA
voanews.com,Public broadcaster,NA
volksstimme.de,Quality newspaper/magazine,NA
vox.com,Digital-born news outlet,NA
vox.de,Commercial broadcaster,NA
voxnews.info,Hyperpartisan media,NA
vozpopuli.com,Digital-born news outlet,NA
washingtonexaminer.com,Quality newspaper/magazine,NA
washingtonpost.com,Quality newspaper/magazine,NA
washingtontimes.com,Quality newspaper/magazine,NA
watergate.tv,Hyperpartisan media,NA
watson.de,Digital-born news outlet,NA
waz.de,Quality newspaper/magazine,NA
wdr.de,Public broadcaster,NA
wdr2.de,Public broadcaster,NA
weau.com,Commercial broadcaster,NA
welt.de,Quality newspaper/magazine,NA
westernjournal.com,Hyperpartisan media,NA
wired.com,Quality newspaper/magazine,NA
wired.it,Digital-born news outlet,NA
wiwo.de,Quality newspaper/magazine,NA
worldjusticenews.com,Digital-born news outlet,NA
wpxi.com,Commercial broadcaster,NA
wsbtv.com,Commercial broadcaster,NA
wsj.com,Quality newspaper/magazine,NA
wxyz.com,Commercial broadcaster,NA
zdf.de,Public broadcaster,NA
zeit.de,Quality newspaper/magazine,NA
